iter	Passed	Remaining
0	447	133775
1	542	80844
2	574	56887
3	608	45004
4	639	37709
5	662	32466
6	684	28648
7	707	25821
8	732	23680
9	756	21952
10	784	20605
11	808	19406
12	836	18459
13	859	17564
14	887	16857
15	911	16180
16	936	15597
17	959	15026
18	986	14584
19	1008	14125
20	1034	13745
21	1057	13369
22	1086	13079
23	1109	12763
24	1138	12525
25	1170	12331
26	1197	12113
27	1219	11851
28	1241	11602
29	1262	11365
30	1287	11171
31	1312	10990
32	1335	10802
33	1358	10630
34	1383	10473
35	1406	10312
36	1429	10158
37	1452	10014
38	1473	9860
39	1494	9714
40	1515	9573
41	1537	9442
42	1558	9312
43	1580	9194
44	1600	9071
45	1621	8955
46	1642	8842
47	1664	8737
48	1684	8631
49	1705	8527
50	1725	8424
51	1746	8328
52	1778	8290
53	1805	8225
54	1831	8159
55	1853	8077
56	1874	7993
57	1896	7913
58	1917	7831
59	1937	7750
60	1957	7670
61	1978	7596
62	2001	7530
63	2025	7470
64	2047	7402
65	2069	7338
66	2093	7281
67	2117	7223
68	2140	7166
69	2166	7117
70	2187	7055
71	2208	6992
72	2228	6929
73	2249	6871
74	2271	6813
75	2291	6753
76	2312	6696
77	2336	6649
78	2358	6599
79	2380	6547
80	2403	6497
81	2423	6443
82	2446	6395
83	2467	6344
84	2489	6296
85	2510	6247
86	2532	6199
87	2552	6150
88	2574	6103
89	2594	6054
90	2616	6008
91	2636	5960
92	2657	5914
93	2677	5868
94	2697	5821
95	2719	5778
96	2739	5732
97	2760	5690
98	2783	5650
99	2804	5608
100	2825	5567
101	2847	5526
102	2869	5487
103	2889	5444
104	2910	5405
105	2931	5365
106	2952	5326
107	2972	5285
108	2995	5248
109	3018	5214
110	3040	5176
111	3061	5139
112	3083	5103
113	3104	5065
114	3127	5031
115	3148	4993
116	3171	4960
117	3192	4923
118	3213	4887
119	3234	4851
120	3255	4815
121	3275	4778
122	3296	4743
123	3316	4707
124	3337	4672
125	3359	4638
126	3383	4608
127	3407	4578
128	3430	4547
129	3454	4516
130	3477	4485
131	3501	4456
132	3525	4426
133	3552	4400
134	3577	4372
135	3601	4343
136	3626	4314
137	3652	4287
138	3675	4257
139	3699	4228
140	3724	4200
141	3748	4170
142	3771	4140
143	3796	4112
144	3820	4084
145	3845	4056
146	3871	4029
147	3894	3999
148	3920	3973
149	3945	3945
150	3968	3915
151	3988	3883
152	4014	3857
153	4036	3826
154	4057	3795
155	4077	3763
156	4101	3735
157	4121	3704
158	4144	3675
159	4177	3655
160	4214	3638
161	4242	3614
162	4265	3584
163	4287	3555
164	4309	3525
165	4331	3496
166	4353	3466
167	4375	3437
168	4396	3407
169	4417	3377
170	4439	3348
171	4461	3320
172	4484	3291
173	4504	3261
174	4524	3231
175	4548	3204
176	4571	3176
177	4593	3148
178	4614	3119
179	4636	3091
180	4658	3062
181	4680	3034
182	4702	3006
183	4722	2977
184	4742	2948
185	4763	2919
186	4784	2891
187	4805	2863
188	4828	2835
189	4849	2807
190	4871	2780
191	4893	2752
192	4914	2724
193	4934	2696
194	4956	2668
195	4977	2641
196	4999	2613
197	5019	2585
198	5040	2558
199	5061	2530
200	5083	2503
201	5103	2476
202	5125	2449
203	5149	2423
204	5171	2396
205	5193	2370
206	5216	2343
207	5239	2317
208	5260	2290
209	5281	2263
210	5303	2237
211	5325	2210
212	5345	2183
213	5367	2156
214	5388	2130
215	5411	2104
216	5437	2079
217	5466	2056
218	5488	2029
219	5518	2006
220	5542	1981
221	5565	1955
222	5589	1929
223	5610	1903
224	5633	1877
225	5660	1853
226	5685	1828
227	5707	1802
228	5730	1776
229	5752	1750
230	5774	1724
231	5798	1699
232	5820	1673
233	5842	1647
234	5865	1622
235	5887	1596
236	5911	1571
237	5936	1546
238	5958	1520
239	5981	1495
240	6004	1470
241	6028	1444
242	6051	1419
243	6077	1394
244	6100	1369
245	6123	1344
246	6148	1319
247	6172	1294
248	6196	1269
249	6216	1243
250	6239	1218
251	6260	1192
252	6281	1167
253	6303	1141
254	6325	1116
255	6348	1091
256	6369	1065
257	6391	1040
258	6414	1015
259	6440	990
260	6465	966
261	6489	941
262	6515	916
263	6542	892
264	6566	867
265	6590	842
266	6617	817
267	6641	793
268	6665	768
269	6689	743
270	6712	718
271	6736	693
272	6761	668
273	6786	643
274	6811	619
275	6837	594
276	6862	569
277	6885	544
278	6911	520
279	6937	495
280	6959	470
281	6983	445
282	7006	420
283	7030	396
284	7052	371
285	7075	346
286	7100	321
287	7126	296
288	7151	272
289	7178	247
290	7199	222
291	7224	197
292	7245	173
293	7269	148
294	7295	123
295	7321	98
296	7344	74
297	7368	49
298	7390	24
299	7412	0
